Name,Subscribers,Videos,Description
Sailing SV Delos,785000,496,"Sailing With SV Delos! This is our story, a story of four souls sailing around the world. It is a story about sailing and travel and ..."
Sailing SV Happy Together,23300,109,Hello and we are glad you found our channel. We are a couple of hard working entrepreneurs who found a way to cruise without ...
Sailing SV Tengah,2010,17,Scott and Mie are sailing around the world on our Amel 54 bluewater sailboat while living the digital nomad lifestyle in an eco ...
Sailing SV OliLuki,15600,29,"It has been said that “life is short”, that ""children grow up so quickly”. It's easy to become trapped in the daily rut of life, working so ..."
Sailing SV Bora Bora,22800,53,"The adventures of a British couple living aboard their first boat, a 1974 Victory 40. Follow us as we leave the UK and head south, ..."
Sailing SV CUBA,719,14,Hola and Hallöchen! We are Enrique (Kiki) from Cuba and Sarah (Salsa) from Germany. It took us many years of working in office ...
Sailing SV Sarean,14500,89,"We are a couple who live an alternative life – a life at sea. We love sailing, we love exploring, meeting amazing people, ..."
Sailing SV Indigo,264,16,"Join us, Ingrid and Jim, aboard our 37 foot sailboat, Indigo, as we find out what makes the Pacific Northwest one of the world's ..."
Sailing SV Pixiefish,1120,16,SV Pixiefish A sailboat refit of a 1982 George Stadel III 48 foot Ketch and the adventures of friends new and old.
SV Seeker,212000,843,Building a 74ft steel origami junk rigged motorsailer in our front yard. ...and living the dream.
S/V Blown Away,1790,124,"WELCOME ON BOARD - We are Natalie, Ian and Nelson ""JOIN THE CREW"" on you tube as we share our adventures with YOU, ..."
Sailing SV Bohemian,455,34,Living the Sailing Lifestyle.
Sailing sv Trim,251,7,Sailing & freediving couple ‍ ‍ Rebuilding our boat s/v Trim ⛵ to continue the voyage in search of the most remote dive ...
Sailing SV Tinylight,97,18,"After personal life changing experiences, the channel will restart with new videos, from Vlogs to more technical. Steel repairs ..."
Sailing SV No Regrets,932,80,"Follow Chris & Joanne's adventures after we move aboard full time on our Seawind 1260 catamaran ""No Regrets""."
Sailing SV Slow Ride,102,45,"Join us on our amazing adventure while we sail Green Bay in our sailboat Slow Ride, a 25-foot Catalina built in 1982. We bought ..."
Sailing Zatara,411000,281,"As my husband and I entered our mid-40s, we realized we were completely exhausted with corporate America and the effect it ..."
Sailing La Vagabonde,1700000,479,We are an Australian couple with the dream of circumnavigating the globe by sail boat… initially having no clue of how to sail.
Sailing sv Blaatunge,535,138,"Just a look inside my sailing life, on s/v Blaatunge of Rudkøbing, Denmark. Starting in the easter 2012, when i got hand on the ..."
Sailing SV Lukim Yu,48,16,We are Susan & Peter and welcome to SV Lukim Yu. We are a sailing couple who loves the cruising life. Follow us as we set sail ...
Sailing SV Adventure,10,1,
Sailing SV BettySue,87,3,Sailing our Mac26x around the U.S. West Coast with plans to eventually buy a bluewater boat and sail the world!! And partying ...
Sailing Catalpa,33600,310,"We are a family of 4 that packed up our life on the Gold Coast in Australia, Sold everything to live our dream and sail the world in ..."
Sailing Zingaro,122000,230,"After shipwrecking in a storm 100nm off the coast of Hawaii, Captain James is at it again! This time on a HUGE, very heavily-built ..."
Sailing SV SaultLife,31,17,Hello everyone Welcome to our YouTube channel. come Join us as we learn to sail our boat become our home. It's a story of 3 ...
Sailing Avocet,16300,46,"Hello! We are Chris and Marissa Neely, the crew of S/V Avocet. We bought Avocet in 2018 as newly weds, fresh out of college ..."
Sailing SV Cordelia,929,73,"We are a middle age couple who have given up our jobs to carry out our dream of cruising. We're down-to-earth, no-frills and ..."
Sailing Dauntless,23600,79,We are family living out our dreams of traveling and seeing as much of the world as we can. We hope to inspire and inform our ...
Sailing Vessel Prism,25800,45,"These are the adventures of SV Prism. Follow the the crew, Shannon and Jon as they sail their Hans Christian 33 sailboat to ..."
Sailing SV Pegasus,178,20,"We are a family of four living on the beautiful Northern Beaches of Sydney, Australia. Our dream is to sailnear and far on our ..."
Sailing SV Jackson,26,6,"A Dog named Mr Pants & A Sailboat named Jack'son ⚓️ Destination: 2017 Florida, Bahamas to Nova Scotia."
Sailing SV Star,13,3,"Welcome aboard Star! Allow us to introduce ourselves as her stewards and crew-Liam, Meghan and our chihuahua, DinahMyte."
Sailing Triteia,63000,302,My name is James and I have recently untied the lines for good and set off to start a slow circumnavigation of this big beautiful ...
SeaWolf,6740,82,In 2015 we bought sold most of our belongings and took a year off and sailed around the Caribbean! Our goal is to motivate ...
Sailing Yacht Florence,101000,126,We are a British couple who set off in 2016 to sail around the world on our 37ft monohull. Thousands of miles and multiple oceans ...
Sailing SV ObLaDi,53,18,Sailing ObLaDi is the episodic journey of three friends taking on the challenge of a project yacht bought for just $1.00 USD. Obladi ...
SV Impavidus,7200,175,"Sailing, travel, boat maintenance and general entertainment for sailors and those that love to sail."
Sailing SV Mutiny,480,56,Shoestring backpackers and a toilet trained black cat with no idea about sailing buy a sailboat with their last savings.
Sailing SV Easy,580,75,"All about our sailing vessel EASY, a Swan 44 MKII, and our travels. www.sveasy.de Plus videos about Kitesurfing, Surfing, Skiing, ..."
Sailing SV Ladyhawk,1,3,C&C121 Ladyhawk sailing Santa Barbara channel.
Sailing SV Senta,48,10,
Sailing SV Ocean Waves,5,1,Just a married couple sailing the Mediterranean on a 57 year old yacht called Ocean Waves.
The Sailing Family,67100,125,"Welcome aboard our family-friendly adventure! We are a family of five sailing around the world on our ""dream boat,"" a ..."
Sailing SV Lõkahi,20,12,The adventure begins for SV Lõkahi !!
Sailing SV Midnight Sun II,115,23,Sailing adventures of S/V Midnight Sun II and now Midnight Sun III We share our sailing adventures - no frills in the videos: what ...
Sailing SV Tattoo,1000,4,"Based in Portland, OR and sailing the Northwest waters - traveling to tattoo you! This channel is dedicated to building techniques, ..."
Overland & Sea,4130,36,"Family of four obsessed with adventure and exploring. Our channel was setup in April 2017 as a sailingchannel, we showed our ..."
Sailing SV WIDE OPEN,7,10,Sailing the world in search of earths' most beautiful oceans.
SV Ramble On,3710,148,"Hello! We are Jeni & Rich VanDusen, a couple of newbie do-it-yourselfer liveaboards and future travelers. A few years ago we ..."
Sailing SV Tesla,72,13,"Hello there, and welcome to my channel. Here for the time being you will see some short videos of me looking for boats and ..."
Sailing Too Short,6890,110,Just a couple of mid 30s kids with an adventurous spirit and determination to find something more in life. Decided to leave the ...
Sailing SV Gadabout,38,1,Sailing vessel gadabout is a 84' don brooks custom cruising ketch pilot house. 1983 model built in New Zealand at quality yachts.
Sailing S.V. Falkor,42,85,time for the channel to change... same old channel much more experienced Gilbert lots of new content coming soon.
Sailing SV Lynx,125,6,"Welcome! S/V Lynx will be about the voyages of Captain Blood and crew sailing our large catamaran, S/V Lynx, around the world ..."
Sailing SV Bella Vita,2,1,We are Scott and Silva Sidoti. We live aboard our 1991 Morgan 44 Center Cockpit sailboat. This YouTube channel and our ...
Sailing SV Pardon My French,708,87,"Sail in the Pacific Northwest aboard Pardon My French. We explore Puget Sound, the Salish Sea, and British Columbia, and ..."
Sailing Tranquilo,17400,96,Join us as we sail the world!
Sailing in 360 by SV Delos,994,2,
SV Tapatya,8080,240,"Hi, I'm Tony and this is the story of the build from scratch of a Jay Benford designed, 31.8 ft junk-rigged schooner sailing dory."
Sailing Bye Felicia,1230,17,"Sailing Bye Felicia is the story of Matt and Lisa, and their new Sailboat, soon to be named the Sailing Vessel Bye Felicia, currently ..."
Sailing SV ?,16,22,Welcome to my channel. It is about everything that interest me. Enjoy the Unsafe Space.
sailing sv Ambrosia,11,5,Sailing the worlds oceans.
Sailing Doodles,455000,577,"We are currently filming and producing Season 6 of Sailing Doodles. This season, we started this season in Annapolis, Maryland, ..."
Sailing SV Luna,8,3,Refitting a 1995 Privilege 45 with the intent to explore the world over the next 11 years.
Sailing SV Freedom,1,1,
Sailing SV Andorina,2,1,"A love of adventure, sailing and a new life for our family. Join us on our latest leap into the unknown to restore our beautiful 72' ..."
Sailing Nahoa,356000,218,"We are Ben, Ashley, Willa & Bodhi, a Canadian family sailing around the world. Our goal here is to show you the World as we ..."
Sailing Blown Away,3310,177,BECOME ONE OF OUR PATRONS! Click on the following link to see how ...
Sailing Parlay Revival,208000,159,"After working on super yachts as a chief engineer, I spend my life savings on a Lagoon 450 catamaran, damaged by Hurricane ..."
Sailing Fair Isle,50500,115,We have sold our house in the UK and moved aboard our boat. She is a classic cutter rigged 48 foot Hans Christian; a very strong ...
Sailing SV Sea Shifter,96,23,SV Sea Shifter.
Sailing Brick House : Rebecca Childress,46400,77,"Circumnavigator Patrick Childress presented DIY Projects, Tips, and Tricks for Repairing and Upgrading your Cruising Sailboat ..."
Sailing SV Bully,19,2,Sailing Family of 7 — Getting ready to set sail on our next adventure aboard SV Bully! Bully is an archaic term used often in old ...
SV IBIS Sailing the World,151,42,The video journal of four souls sailing the world. Follow our Blog at www.fouribis.net!
SV Tranquillity,1300,40,In 2018 we became the proud owners of 'Tranquillity' a Scanmar 33 foot sailing vessel built in Sweden in 1985! After 3 years of ...
Sailing Nandji - Frothlyfe,124000,281,Young Australian couple circumnavigating the world on an old boat and on a tight budget. Follow our journey as we sail Nandji ...
Sailing Project Atticus,241000,332,We're Jordan and Desiree! Our newest crew member is Captain Oso. We spent 6 years restoring and sailing on our 30 foot ...
Sailing SV Gerty,165,10,
Sailing SV Yohelah,NA,1,
Sailing Sv ikigai,158,4,"Captain Mike, A medically retired Navy Corpsman with continued years of medical practice in CPRT and a Medical educator for ..."
Great Escape Sailing Vessel,56,10,Sailing channel with videos of various sailing excursions.
Sailing SV Free Soul - Yrjas,32,19,"Hey! My name is Kent and i have the dream of sailing around the world on my boat and sharing that journey with you all, My ..."
Sailing SV HURAH,3,3,Adventures on a Hallberg - Rassy 43 sailboat. We're a couple playing full out and hoping to change lives along the way by ...
Sailing Cadoha,30700,111,"CArly, DOm & HAnk make up the crew of Cadoha. We're challenging ourselves to a new life on the water, exploring and showing ..."
Sailing SV Jesse Marie,17,19,"We're setting sail soon! Follow our adventures as we sail from Morro Bay,Ca to Baja Mexico!"
Sailing SV Freelance,216,17,
Gone with the Wynns,507000,497,"Hello. We're Jason and Nikki Wynn, a couple of explorers, modern-day documentarians, and cultivators of curiosity. We believe ..."
Sailing Sunrise,3090,54,"Slightly older retired Australian couple, sell up buy a sailing catamaran and learn as we sail the world."
Sailing SV MiCasay,30,1,"Pleased to meet you! My name is Casey, and this is my first shot at blogging/vlogging, so I really hope you enjoy what you read in ..."
Sailing SV Escape,2900,105,"A sailing travel series from Marblehead to Florida and the Bahamas, with passages offshore and inside on the intracoastal ..."
Sailing SV Moonflower 3,7,3,
Sail Cloudy Bay,21300,119,s/v Cloudy Bay is a Hallberg-Rassy 54 sailing around the world. We keep a sailing & travel blog with the good and bad of day to ...
Slow Boat Sailing,11500,166,"Subscribe to the Slow Boat Sailing Podcast on iTunes or on Stitcher where we interview Sailing SVDelos, Gone with the Wynns, ..."
Sailing SV Pearler,7,3,"We are Rob and Lisa, that have done the crazy thing of buying a catamaran. We have some work to do. Rob used to sail and boat ..."
Sailing SV No Worries,33,2,
Sailing SV Grateful,7,4,"Grateful is one of the most beautiful Beneteau Sense 50' sailboats in the world. We are on an adventure that stared in Turgutreis, ..."
Sailing Magic Carpet,125000,212,"Documenting the sailing adventures, restoration endeavours, and life changing moments in the lives of Maya and Aladino."
SV Echo Echo Sailing the World,1330,65,"We are an Aussie/Kiwi couple (Jeanette and Neil) 'living the dream' sailing on our beautiful yacht'Echo Echo', a Beneteau 473."
Calico Skies Sailing,18600,138,Two dreamers traveling the world on our 36ft sailboat We don't always know where we're going but we're always going! 30000+ ...
Sailing SV Shenanigans,3,1,Sailing Shenanigans Amel Supermaramu.
Sailing Vessel Freedom,NA,166,"Welcome Aboard! Follow my journey as I sell everything, search to find that perfect boat, become a liveaboard and prepare for ..."
Sailing Nahoa,356000,218,"We are Ben, Ashley, Willa & Bodhi, a Canadian family sailing around the world. Our goal here is to show you the World as we ..."
Sailing SV SVANA,1,1,
Sailing SV Wichita,11,1,
Sailing SV Sirocco,2,2,Darren & Sandy Davey and their adventures on SV Sorocco which is a 1998 Beneteau Oceanis 351.
Bill & Natalie sailing Sv Skinny Dip,680,22,Follow along as we sail our 26 foot Pearson sailboat.
Outside Watch - SV Skylark,7580,19,Hi! We're Chris and Jennifer. This is our story of how our life was turned completely upside down in just a matter of weeks! We are ...
Sailing SV Woo-Sa,1250,NA,
Outer Passage,3800,94,"Ahoy! You may know us as Darren and Amanda on Sailing Panda, and we still are that adventurous couple, but with a brand ..."
Sailing Uma,398000,380,"We are Dan (From Canada) & Kika (From Haiti), Creating videos of our journey, adventures, and lessons learned, as we explore ..."
Sailing Make My Day,390,49,Sailing SV Make my day Michael & Leontien.
SV Rhona H Heritage Sailing Tasmania,13,95,"Sail SV Rhona H, an historic boat built in 1942. Originally built as a gentlemen's recreational fishing boat for Frere Youl of ..."
Sailing Sweet Ruca,14000,95,"We are two racing sailors that decided to go cruising. We sold it all, bought a sailboat, re-fit it ourselves for offshore sailing, and ..."
SAILING SV ARIES,44,16,"We are a family of four (Wagner, Renata, Raphael and Alice), plus our Golden Retriever ""Buddy"", sailing the waters of Southeast ..."
SV Adventurer,13300,212,"We sold everything, quit our jobs, and on May 31, 2014 left for good. We have our sites set on everything and nothing. We are ..."
SV Stella J,1230,48,"A channel dedicated to a couple who decided the 9-5 wasn't for them, so we quit our jobs and sold it all to live aboard our 1992 ..."
sailing sv Grand Tour,3,5,our trips in catamaran all over the world.
Sailing Joco,3350,37,"Thank you for stopping by We're so glad you're here! Please stick around, Like and Share our videos with anyone you think ..."
Sailing SV OffLine,1,2,"New sailor, learning the ropes. Working on a few things on the boat, before taking to the high seas."
Sailing SV Relax,1,7,This Channel was created with sailing and anything that's associated with it in mind.
Sailing sv Phi,61,11,a Caribbean sailing adventure with kids We love sailing and traveling and we love to see more of our beautiful planet. We are ...
Building SY Mistress,12900,157,"Welcome to Building SY Mistress and her journeys! I have built a Van De Stadt, 40ft steel sailing yacht and am in the process of ..."
Sailing SV REDFOX,39,16,"Sailing Lake Winnipeg with the man, the wife, the boy and the dog."
Sailing SV Maloo,133,3,
Sailing SV Willow,8,72,"A personal home video channel featuring a variety of family oriented videos including sailing, snorkeling, drone videos and others ..."
SAILING into FREEDOM,116000,449,"Join us on our adventure where we sail to remote places around the world, live off the land where we can and try to keep our ..."
Sailing Jibsea,21300,85,"Hi everyone! We are Steph and Travis, a Canadian couple that bought a sailboat (1990 Hunter 42 Passage) and are learning ..."
Wildlings Sailing,59300,206,We are Mark and Nadiyana . We bought an old cat and we're going to make it purr once again.
Sailing SV Robin V,5,5,Robin V is a 2013 Jeanneau 41DS. Join us on our East Coast sailing adventures as we learn along the way.
Sailing SV Gitane,167,NA,"Hi there, we are Jacob & Marloes. A Dutch couple planning to once sail around the world. Our journey starts in the end of 2017 ..."
Sailing SV Airspeed,NA,7,"Join us as we equip and outfit our Jeanneau Sun Odyssey 54 DS for sailing adventures from Miami to the Bahamas, Caribbean, ..."
Sailing SV Trillium,1,1,"Sailing, Ontario 32, Sailboats, Cruising Sailboats, C&C Design Sailboats,"
Emily & Clark's Adventure,54400,219,"Hi! We are Clark and Emily, living small and intentionally together (currently aboard our 50-year-old sailboat, S/V Temptress, ..."
Sailing SV Scruffy,11,5,This channel is dedicated to a 16 foot timber dinghy called Scruffy. Scruffy was acquired from the Sea Scouts when they replaced ...
Sailing SV Arya,30,1,Sailing the USA and then the world.
Sailing S.V. Moxie,10,13,
Sailing Aequus,11900,32,Welcome to our channel and thank you for being here. After 2.5 years of sailing full time we thought we would share our wonderful ...
Sailing SV Breaking Wind,577,388,Sailing the PNW aboard SV Breaking Wind.
Sailing SV Eva,1,1,"Eva is a 1987 Sparkman & Stephens 36, she is currently in the process of a major refit and upgrade."
Sailing SV Dingos Revenge,4,1,
Sailing SV ANTILIA,NA,1,
Sailing SV Tuulik,207,5,"We are an American couple, Bjorn & Nicole, who like so many others are searching for something more out of life. Determined to ..."
Sailing Popao - Underwater Ally Productions,31500,192,A young Australian spearfishing couple with a sailboat. Learn more about this amazing country they call home as they explore ...
Sailing sv Motion,NA,1,Another youtube channel about sailing..... YES! absolutely correct :) Why is this one worth watching? No channels about a ...
Sailing Soulianis,96500,110,We're a couple of born and raised Midwesterners with hearts belonging to the ocean. After a decade of dreaming + planning to ...
Sailing SV Roci,30,5,Brian and Brianne Sailing their 39 foot Gecco around the Sea of Cortez!
Sailing SV Womble,4,2,
Sea Gypsies,6160,43,"... the sailing vessel Infinity will tackle the formidable Northwest Passage, attempt to reach the Northernmost inhabited settlement ..."
Catamaran Impi,19900,122,"The sea makes us feel free, so we followed the dream to move home from our farm in South Africa to a sailing vessel, a catamaran ..."
Sailing SV Exuberant,10,5,"Sailing and Exploring the World with SV Exuberant, and RV Corazon Espinado. A story about surviving, moving on to explore our ..."
Sailing Vessel Illimite,162,39,To date we have been using youtube to upload our videos that are too large for our blog. These supplemental videos are part of ...
Sailing Hangtime,1120,67,"We bought our Foutaine Pajot Saona 47' in December 2017. Since then we have been living aboard our catamaran, watching the ..."
Sailing SV Libelle,NA,20,
Sailing SV Moondancer,9,1,We started this channel to share our adventures of sailing and travel. We have ventured near and far since growing up in a small ...
Sailing SV Laylah,3,2,
Sailing SV Legacy,1,1,
Sailing SV Ondine 333,NA,10,"Ondine | Custom 45' Sloop ""The Sea Nymph"" Jump into the ever-twisting tale of Ondine (Sea Nymph) sailingaround the world ..."
Sailing Snow Gum,2520,99,This channel will showcase this wonderful sailing vessel design as we learn about its features and capabilities. To help us stay up ...
Sailing SV Manjana,81,1,"We are 4 Norwegians who wanted to get out of our normal lives for a while, so we decided to buy a sailingcatamaran together ..."
Alluring Arctic Sailing,62300,50,"Hi! I'm Juho and I sail, ski & kitesurf. I also try to contribute to voluntary research projects whenever I can. All of this in cold places!"
Sailing Sv LeeAnn,3,5,
Sailing S.V. Satellite,27,1,
Sailing Vessel Leeloominai,1,1,
Sailing SV Serenity,10,1,Hey guy's Mav here. This Chanel is to be dedicated to my personal approach at becoming a full time live aboard on my boat ...
Sailing SV Falkor,10,1,"Sailing SV Falkor. The story of two friends on a Neverending Journey. Casting off on a 1977 Trintella IV to sail around the world, ..."
followtheboat,59300,577,"We are two Brits on a sailboat travelling the wrong way around the world since 2006. There is no plan. If we make you laugh, ..."
Sailing SV Agony,6,3,
Sailing SV Salacia,22,32,We are James and Maria. Follow along with us as we are prepare to embark on a life changing journey around the world.
Lady K Sailing,34300,197,Join us on Lady K Sailing as we adventure our way to untying to dock lines and pointing our boat south to the great blue beyond.
Sailing SV Geneviève,9,3,Sailing SV Geneviève around the world - discover the adventure to commence shortly !!!! Like and Subscribe...it will be a good ...
Sailing SV Yonder.,107,12,
Sailing Satori,48900,100,"THE SATORI STORY We are Nick and Kelly, two people with a spirit for adventure. Here we are documenting our journey as we ..."
The O'Kelly's,88700,190,"We've been together for almost 30 years and have had three monohulls and one catamaran over the past 20 years. Clarity, our ..."
Sailing Emerald Steel,29500,223,LIVING THE DREAM ON A LOW BUDGET For 30 YEARS!! We gave up many of the trappings of a materialistic world in exchange ...
DrakeParagon,36600,482,We are Drake and Monique cruising aboard our Westsail 42 sailboat and home 'Paragon.' We are devoted to exploring the world ...
Sailing SV Notorious,19,7,"Future home of our sailing adventures... we will likely upload videos to YouTube, then link to those videos on our SV Notorious ..."
Sailing SV Caterpillar,635,8,"A retired couple from Buffalo, NY inching our way around the world on our Knysna 440 Sailing Catamaran S/V Caterpillar."
Sailing SV Tuulik,207,5,"We are an American couple, Bjorn & Nicole, who like so many others are searching for something more out of life. Determined to ..."
Sailing One Life,11700,73,"We are Captain Gary and Mer-mate Brooke, just an average couple in our 30's who decided to quit the 8-5 office grind and ..."
SailingBritican,30500,283,"We're a family of three that sold everything we own, purchased a 56' Oyster sailing yacht and have been sailing around the world ..."
Sailing Gently,13300,55,"I started working as a child actor then became a TV Drama director on shows like Dr Who, Howards Way. Warship, Treasure ..."
Sailing SV Swirl,117,26,"New owner of a 1977 Clark San Juan 30, welcome to learning how to fix up a boat along with me. I bring years of experience in ..."
Sailing SV BIANKA,90,103,
SAILING sv GG,16,7,"This is about my wife, grand kids and my self learning to sail & maintaining the sailboat. We are also learning to video our ..."
Sailing SV Saga,10,4,
Sailing Kittiwake,49200,149,Hi! We're Elena and Ryan. This is our sailing channel. We quit our jobs to move onto a boat and sailthe world. First we lived on a ...
SV Roquetta,NA,107,Welcome to my YouTube channel! Follow me as i explore amazing Cornwall (and beyond) on my 1967 Twister 28. Most of my ...
Sailing SV Luna,6,1,
Sailing The Far Side,51300,74,"We are just two sisters living our legacy. Thirty-four years ago our father commissioned a 50' 'Tradewinds pilot house, cutter, built ..."
Sailing Nikau,13000,115,"Join us as we adventure around the world on our yacht, Nikau. We are a family from New Zealand who wanted to take a break ..."
Sailing Yabá,67300,78,Hi! We are Ben & MP and we now own a massive wooden schooner that needs A LOT of work done. Many people told us the boat ...
Sailing SV Roci,5,3,
Sailing SV Escapade,1,2,
Sailing SV Ree,29,11,This channel is primarily for our family and friends. Mainly to keep them up to date on our travels. We are an older couple who ...
Sailing SV Kalon,1,3,
Sailing SV Sola Fide,NA,2,
Slim & Soph - Sailing Nakama,8390,88,"Welcome aboard SV Nakama, We are Slim & Soph a young Aussie couple tryna get by living aboard our tiny retro sailboat with ..."
SailAway World Sailing,21000,219,"ESCAPE NORMAL. Frustrated with the confines of ""normal life""? Wish you could ESCAPE and really EXPERIENCE the WORLD?"
Sailing SV Lovisa,27,32,Sailing SV Lovisa - this channel is about sailing my sailboat S.V Lovisa that I equipped for long passage sailing adventures and ...
Unforgettable Sailing,52000,268,"It's no longer a dream when you make it happen... What if your life was full of adventure, interesting people, challenges and nature ..."
Sailing SV Southern Aire Sailing SV Southern Aire,75,41,Sailing SV Southern Aire.
Sailing Yacht Zora,17500,130,"Hi, we are Rhys and Niamh and welcome to our world of Zora. We started our boat renovation journey nearly four years ago with a ..."
Sailing NV,2730,51,"Caio! We are Timo&Jo, an Italian&English couple with countless ocean miles under our belts, incl. sailinghalf way around the ..."
SAILING sv GG,10,1,"These videos are about learning how to sail, fixing our sailboat, navigating, and all things related. We are not PROFESSIONALS ..."
Sailing SV Wave,219,60,We are a New Zealand family who have brought a Grand Soleil 50 in Croatia and are sailing it back to New Zealand.
Sailing with six,12600,60,Welcome! This is a place to share our family adventures with the world. Inspiring other families to get out there and experience life ...
Breaking Waves Sailing,22700,65,"Alie and Ben living aboard SV Kiana (1989 Sceptre 41) in British Columbia, Canada. We have lots of projects to complete ..."
Beau and Brandy Sailing,45300,201,"After spending 2.5 years bringing back to life our rescued boat, we set sail and are currently sailingin the Caribbean on our all ..."
Sailing Sisu,14700,183,"We are South Africans, sailing around the world on our 45 Leopard Catamaran, sharing the adventure with extraordinary people ..."
SV Andromeda,1180,37,This is the story of English built gaff rigged sailing yacht being restored to her former glory. Andromeda is a wooden sailing yacht ...
Sailing SV Free Livin,2,1,
Sailing SV Pipedream,270,31,This channel is mainly about my boat Pipedream. I built this boat out of an old cooling tower ( chimney ) some years ago and I am ...
Sailing S.V. Dahlia,4,1,"Welcome to our channel, Sailing SV Dahlia. She's a 1979 45ft Explorer that's been well maintained over the years. But we're ..."
Sailing Sunday,17700,174,"A young couple Ryan, Brittni with their German Shepherd pup Jackson sailing around the world on their Beneteau Oceanis 46 ..."
Sailing Dark Angel,684,61,"We're Lisa & Dave. We love to travel anywhere warm and friendly, to explore, meet new people, see new places, and share what ..."
SV Zayante - Sailing and Living Aboard,477,13,We are an American family of 6 (7 including Kevin the Cat) with the dream of circumnavigating the globe by sail boat. We have cut ...
Sailing Totem,2110,4,"We are a full-time traveling family that has sailed around the world. In 2008, we sold most of our belongings, moved onto our boat, ..."
Mothership Adrift Travel and Sailing,15800,168,"We're a UK family who have saved over many years to live the dream of travelling the world with our kids. We sold our belongings, ..."
Sailing SV KAO'S With The Real Captain Morgan,70,24,Joe and I (Sinda) decided to sell our house and downsize so that we could look for a boat to move onto. We came across KAO'S ...
Life in a Nutshell,13800,282,"An Adventurer and an Artist decide to leave the tropical islands of North Queensland, Australia behind to explore the world slowly."
Sailing SV Ciganka,53,27,"We have decided to change our life and live an adventure...we bought a sailboat without previous sailingexperience, we will ..."
s/v Blue Pearl,417,45,"Traveling the world by boat , Dad (Rene) Mom (Joline) Robin (10 YO) and Lauren (7 YO) We bought Blue Pearl , a Beneteau ..."
Sailing SV Matahom,1840,22,"This is our adventure on our Leopard 44 sailing catamaran, Matahom. Matahom is a Cebuano (Bisaya) word, which means ..."
Sailing SV Artemis,8,1,"Artemis is based out of St. Petersburg, FL. Primarily cruising the west coast of Florida and throughout the keys, we're always ..."
Sailing Fabule,109,3,
Sailing SV Taipan,669,54,SV Taipan Sweden Välkomna till vår kanal! Här kommer vi att lägga upp klipp från våra segeläventyr. Välkommen att följa oss om ...
Sailing Catchin' Rays 2,10000,34,This channel is to document our sailing adventure aboard our 42' catamaran that included preparing her for a life back at sea.
Captain Rick Moore,146000,954,Life is about living! We invite you to share our journey with moments captured as they are experienced. Come live these moments ...
Another Adventure,26900,57,https://www.youtube.com/watch?v=jikmDP8IV5A.
Sailing Orion,105,2,"Join us (Sri, Heather, our toddler Kiran and puppy Lily) as we figure out how to sail in our 2019 Lagoon 42 catamaran. Hopefully ..."
SV Paquita,4220,35,
Sailing Life on Jupiter,11800,114,When locked down in Cape Town South Africa we had the spare time to start putting together some videos that we wanted to ...
Sailing Wave Rover,35800,106,Chapter 1 of Sailing Wave Rover (a 1979 Contessa 26)is all about how I rebuilt her from the keel up in 2018-19. After her launch ...
Sail Life,104000,467,Does DIY boat projects and living aboard a boat sound fun? Come join me! My end goal is to become a full-time cruiser. This will ...
Sailing SV Stramash,15,8,Just a few videos of me sailing my Endurance 44 “Stramash”. The plan is to document my trip around the world next near 2022 but ...
Sailing the Island Girl,90,4,"My ultimate goal in sailing SV Island Girl is to share my philosophy of ""Life Out Loud"", and by doing so sharing my sailing ..."
